symbol,exchange,symbol_on_exchange,base_asset,quote_asset,expire_at,has_buy_sell_data,is_perpetual,margined,oi_lq_vol_denominated_in,has_long_short_ratio_data,has_ohlcv_data
RSRUSDT_PERP.A,A,RSRUSDT,RSR,USDT,,True,True,STABLE,BASE_ASSET,True,True
BOBAUSDT.6,6,BOBAUSDT,BOBA,USDT,,True,True,STABLE,BASE_ASSET,True,True
BELUSDT.6,6,BELUSDT,BEL,USDT,,True,True,STABLE,BASE_ASSET,True,True
MTLUSDT_PERP.A,A,MTLUSDT,MTL,USDT,,True,True,STABLE,BASE_ASSET,True,True
DOGEUSDT_PERP.A,A,DOGEUSDT,DOGE,USDT,,True,True,STABLE,BASE_ASSET,True,True
BANDUSDT_PERP.A,A,BANDUSDT,BAND,USDT,,True,True,STABLE,BASE_ASSET,True,True
RENDERUSDT_PERP.A,A,RENDERUSDT,RENDER,USDT,,True,True,STABLE,BASE_ASSET,True,True
KSMUSDT_PERP.A,A,KSMUSDT,KSM,USDT,,True,True,STABLE,BASE_ASSET,True,True
WOOUSDT_PERP.A,A,WOOUSDT,WOO,USDT,,True,True,STABLE,BASE_ASSET,True,True
1000XECUSDT.6,6,1000XECUSDT,1000XEC,USDT,,True,True,STABLE,BASE_ASSET,True,True
ICXUSDT.6,6,ICXUSDT,ICX,USDT,,True,True,STABLE,BASE_ASSET,True,True
IMXUSDT.6,6,IMXUSDT,IMX,USDT,,True,True,STABLE,BASE_ASSET,True,True
MTLUSDT.6,6,MTLUSDT,MTL,USDT,,True,True,STABLE,BASE_ASSET,True,True
DUSKUSDT_PERP.A,A,DUSKUSDT,DUSK,USDT,,True,True,STABLE,BASE_ASSET,True,True
FLUXUSDT.6,6,FLUXUSDT,FLUX,USDT,,True,True,STABLE,BASE_ASSET,True,True
XCNUSDT.6,6,XCNUSDT,XCN,USDT,,True,True,STABLE,BASE_ASSET,True,True
PHBUSDT_PERP.A,A,PHBUSDT,PHB,USDT,,True,True,STABLE,BASE_ASSET,True,True
NEIROUSDT_PERP.A,A,NEIROUSDT,NEIRO,USDT,,True,True,STABLE,BASE_ASSET,True,True
TWTUSDT.6,6,TWTUSDT,TWT,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZECUSDT.6,6,ZECUSDT,ZEC,USDT,,True,True,STABLE,BASE_ASSET,True,True
OMNIUSDT.6,6,OMNIUSDT,OMNI,USDT,,True,True,STABLE,BASE_ASSET,True,True
CAKEUSDT_PERP.A,A,CAKEUSDT,CAKE,USDT,,True,True,STABLE,BASE_ASSET,True,True
AIUSDT.6,6,AIUSDT,AI,USDT,,True,True,STABLE,BASE_ASSET,True,True
ALGOUSD_PERP.A,A,ALGOUSD_PERP,ALGO,USD,,True,True,COIN,QUOTE_ASSET,True,True
ATOMUSD_PERP.A,A,ATOMUSD_PERP,ATOM,USD,,True,True,COIN,QUOTE_ASSET,True,True
BEAMUSDT.6,6,BEAMUSDT,BEAM,USDT,,True,True,STABLE,BASE_ASSET,True,True
VOXELUSDT.6,6,VOXELUSDT,VOXEL,USDT,,True,True,STABLE,BASE_ASSET,True,True
JASMYUSDT_PERP.A,A,JASMYUSDT,JASMY,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZKFUSDT.6,6,ZKFUSDT,ZKF,USDT,,True,True,STABLE,BASE_ASSET,True,True
AVAXUSD_PERP.A,A,AVAXUSD_PERP,AVAX,USD,,True,True,COIN,QUOTE_ASSET,True,True
ACHUSDT_PERP.A,A,ACHUSDT,ACH,USDT,,True,True,STABLE,BASE_ASSET,True,True
LINAUSDT.6,6,LINAUSDT,LINA,USDT,,True,True,STABLE,BASE_ASSET,True,True
BNXUSDT_PERP.A,A,BNXUSDT,BNX,USDT,,True,True,STABLE,BASE_ASSET,True,True
ARPAUSDT.6,6,ARPAUSDT,ARPA,USDT,,True,True,STABLE,BASE_ASSET,True,True
ALGOUSDT_PERP.A,A,ALGOUSDT,ALGO,USDT,,True,True,STABLE,BASE_ASSET,True,True
POPCATUSDT_PERP.A,A,POPCATUSDT,POPCAT,USDT,,True,True,STABLE,BASE_ASSET,True,True
KNCUSDT_PERP.A,A,KNCUSDT,KNC,USDT,,True,True,STABLE,BASE_ASSET,True,True
ZILUSDT_PERP.A,A,ZILUSDT,ZIL,USDT,,True,True,STABLE,BASE_ASSET,True,True
BLZUSDT_PERP.A,A,BLZUSDT,BLZ,USDT,,True,True,STABLE,BASE_ASSET,True,True
NEARUSDT_PERP.A,A,NEARUSDT,NEAR,USDT,,True,True,STABLE,BASE_ASSET,True,True
AVAXUSDT_PERP.A,A,AVAXUSDT,AVAX,USDT,,True,True,STABLE,BASE_ASSET,True,True
MKRUSDT_PERP.A,A,MKRUSDT,MKR,USDT,,True,True,STABLE,BASE_ASSET,True,True
SNXUSDT_PERP.A,A,SNXUSDT,SNX,USDT,,True,True,STABLE,BASE_ASSET,True,True
ENJUSDT_PERP.A,A,ENJUSDT,ENJ,USDT,,True,True,STABLE,BASE_ASSET,True,True
